연도,월,연월,수출입구분,수출입구분설명,물동량
2003,2,2003-02,OT,수출환적,161074.5
2003,11,2003-11,IT,수입환적,170733.5
2006,1,2006-01,OT,수출환적,203348.25
2018,1,2018-01,OO,수출,413797.75
2013,6,2013-06,OO,수출,389650.25
2012,4,2012-04,OO,수출,383600.5
2018,3,2018-03,IT,수입환적,426936.25
2017,5,2017-05,II,수입,434753
2014,12,2014-12,II,수입,385736
2015,8,2015-08,IT,수입환적,429171
2019,9,2019-09,OO,수출,408790.5
2022,9,2022-09,OO,수출,384904.25
1993,7,1993-07,II,수입,118830
1995,4,1995-04,II,수입,187405.5
2001,4,2001-04,IT,수입환적,126275
2004,7,2004-07,OT,수출환적,199495
2006,11,2006-11,OO,수출,294017.25
2007,5,2007-05,IT,수입환적,262714.25
2010,9,2010-09,IT,수입환적,252317.75
2006,12,2006-12,IT,수입환적,220788
2012,12,2012-12,IT,수입환적,359519.5
2014,5,2014-05,II,수입,396793.75
2019,1,2019-01,II,수입,439584.75
2024,6,2024-06,OO,수출,468314.25
1993,11,1993-11,OO,수출,123835
1994,12,1994-12,II,수입,186371
1996,7,1996-07,II,수입,197541
1996,9,1996-09,II,수입,187918
1997,5,1997-05,OO,수출,191514
1998,11,1998-11,II,수입,248553.75
1999,10,1999-10,II,수입,289442.25
2002,9,2002-09,OO,수출,248186.5
2002,6,2002-06,OT,수출환적,165425.25
2004,10,2004-10,II,수입,289875.5
2005,12,2005-12,II,수입,278518.5
2005,4,2005-04,OT,수출환적,224497
2006,4,2006-04,IT,수입환적,217338.5
2003,12,2003-12,OT,수출환적,171480.75
2007,6,2007-06,II,수입,316283.75
2008,3,2008-03,OO,수출,357447
2008,4,2008-04,OO,수출,337609
2010,6,2010-06,OT,수출환적,274941
2012,10,2012-10,OO,수출,370084
2012,8,2012-08,OT,수출환적,314639.75
2014,11,2014-11,II,수입,387306.75
2014,5,2014-05,OT,수출환적,388978.25
2017,3,2017-03,IT,수입환적,443374.75
2014,2,2014-02,OO,수출,334191.25
2015,9,2015-09,OT,수출환적,418014.5
2015,4,2015-04,IT,수입환적,423247
2025,2,2025-02,OO,수출,437906.75
2021,4,2021-04,II,수입,463918
2021,1,2021-01,OO,수출,427910.75
2024,6,2024-06,II,수입,477174
1994,8,1994-08,II,수입,154516
1995,1,1995-01,II,수입,180551
1995,3,1995-03,OO,수출,165360
1995,7,1995-07,II,수입,189689.75
1996,12,1996-12,II,수입,214366.75
1998,4,1998-04,OO,수출,217210.5
1999,12,1999-12,OO,수출,215282.25
2001,5,2001-05,IT,수입환적,120628.25
2004,3,2004-03,IT,수입환적,198570
2002,8,2002-08,II,수입,222448.25
2004,10,2004-10,IT,수입환적,211547.75
2005,12,2005-12,IT,수입환적,217073.5
2004,3,2004-03,OT,수출환적,188143.25
2006,2,2006-02,OT,수출환적,199719.25
2009,4,2009-04,II,수입,265134.75
2010,4,2010-04,IT,수입환적,276455
2011,10,2011-10,OT,수출환적,305334.5
2011,4,2011-04,OO,수출,376056.25
2012,12,2012-12,II,수입,364946.25
2017,4,2017-04,OT,수출환적,435260.25
2016,1,2016-01,IT,수입환적,415305.75
2015,6,2015-06,OT,수출환적,410090.75
2019,12,2019-12,II,수입,438660.25
2019,2,2019-02,OO,수출,379319.75
2024,10,2024-10,IT,수입환적,574791.75
1992,6,1992-06,OO,수출,128033
1993,3,1993-03,II,수입,119549
1996,3,1996-03,II,수입,193583.5
2001,2,2001-02,OO,수출,204923.5
2001,12,2001-12,II,수입,238499.5
2003,5,2003-05,OO,수출,242965.5
2003,2,2003-02,II,수입,225268
2003,1,2003-01,II,수입,245590.25
2007,2,2007-02,OT,수출환적,221692.75
2006,3,2006-03,II,수입,299891.25
2005,12,2005-12,OO,수출,271766.75
2008,7,2008-07,OT,수출환적,242582.5
2009,5,2009-05,II,수입,262159.75
2010,1,2010-01,II,수입,277278.75
2010,5,2010-05,IT,수입환적,282993.5
2010,7,2010-07,IT,수입환적,278232.25
2011,10,2011-10,OO,수출,383303.5
2012,5,2012-05,II,수입,392853
2017,11,2017-11,II,수입,419022.5
2016,3,2016-03,OT,수출환적,407065.75
2018,5,2018-05,OT,수출환적,496727
2020,3,2020-03,IT,수입환적,531145.5
2021,7,2021-07,OO,수출,457380
2019,9,2019-09,IT,수입환적,446338.75
2023,6,2023-06,OT,수출환적,502891
1995,8,1995-08,OO,수출,154417.5
2001,8,2001-08,IT,수입환적,132480.5
2003,4,2003-04,IT,수입환적,201062.25
1998,2,1998-02,II,수입,197403.25
2001,2,2001-02,II,수입,185531.5
2001,3,2001-03,OT,수출환적,123264.5
2004,7,2004-07,IT,수입환적,194488.5
2003,3,2003-03,IT,수입환적,205874.5
2003,7,2003-07,OO,수출,260226.5
2004,1,2004-01,OO,수출,250390.25
2009,11,2009-11,OT,수출환적,238274.75
2009,12,2009-12,II,수입,313221
2013,7,2013-07,II,수입,375748.5
2013,1,2013-01,IT,수입환적,341903.5
2013,1,2013-01,OT,수출환적,341173.5
2014,12,2014-12,OT,수출환적,400581.75
2014,5,2014-05,OO,수출,395188.75
2014,7,2014-07,OO,수출,392414.25
2018,12,2018-12,OO,수출,449870.25
2021,9,2021-09,OT,수출환적,491517.75
2021,5,2021-05,OT,수출환적,547468.75
2022,9,2022-09,IT,수입환적,402423
1992,9,1992-09,OO,수출,122836
1999,9,1999-09,II,수입,253862.75
1999,11,1999-11,OO,수출,217088.75
2000,6,2000-06,II,수입,325329.5
2004,6,2004-06,II,수입,266703
2003,2,2003-02,IT,수입환적,164237.5
2004,9,2004-09,OT,수출환적,196239.75
2005,6,2005-06,OT,수출환적,213953.25
2007,4,2007-04,OO,수출,312455.5
2007,7,2007-07,OT,수출환적,273459
2009,7,2009-07,OO,수출,281526.5
2010,1,2010-01,IT,수입환적,250147.25
2010,5,2010-05,OO,수출,353853.5
2010,9,2010-09,OO,수출,307829.25
2011,5,2011-05,OT,수출환적,305453.5
2017,9,2017-09,II,수입,424726.5
2014,3,2014-03,II,수입,405896.25
2016,10,2016-10,II,수입,417767.75
2016,3,2016-03,OO,수출,416454
2019,11,2019-11,II,수입,431137.5
2018,7,2018-07,II,수입,421967.25
2021,12,2021-12,IT,수입환적,490084.25
2018,5,2018-05,IT,수입환적,498935.75
2021,5,2021-05,OO,수출,469238.5
2020,10,2020-10,OT,수출환적,536128.75
2022,12,2022-12,II,수입,424733.5
2022,8,2022-08,IT,수입환적,505538.75
2024,7,2024-07,II,수입,458437.75
2022,9,2022-09,II,수입,352809.75
2000,2,2000-02,II,수입,281877
2000,10,2000-10,OO,수출,233781.75
2001,7,2001-07,II,수입,213207
2003,8,2003-08,II,수입,239070
2004,12,2004-12,OT,수출환적,217055
2005,8,2005-08,OO,수출,260458.75
2005,9,2005-09,II,수입,270314
2005,9,2005-09,IT,수입환적,216053
2008,6,2008-06,IT,수입환적,243633.75
2009,10,2009-10,OO,수출,295764
2009,12,2009-12,IT,수입환적,246832
2012,9,2012-09,IT,수입환적,344999.25
2012,9,2012-09,OT,수출환적,336063.75
2014,10,2014-10,IT,수입환적,398337.5
2021,1,2021-01,II,수입,424911.75
2022,11,2022-11,II,수입,425535
2022,11,2022-11,OO,수출,423563.75
1997,1,1997-01,II,수입,192141.75
1999,12,1999-12,II,수입,318973.75
2000,4,2000-04,II,수입,304409
2001,9,2001-09,IT,수입환적,141549.75
2002,9,2002-09,OT,수출환적,163249.5
2002,8,2002-08,OT,수출환적,161586
2002,4,2002-04,IT,수입환적,160149.5
2004,4,2004-04,IT,수입환적,209653
2004,12,2004-12,OO,수출,285985.5
2004,9,2004-09,OO,수출,286644.5
2005,6,2005-06,IT,수입환적,215669
2003,12,2003-12,OO,수출,266166.75
2007,3,2007-03,II,수입,316149
2007,3,2007-03,IT,수입환적,223077.5
2008,4,2008-04,OT,수출환적,252340
2013,7,2013-07,OT,수출환적,375722
2013,11,2013-11,OT,수출환적,382703.75
2012,3,2012-03,IT,수입환적,373552.75
2013,2,2013-02,IT,수입환적,324165
2014,10,2014-10,OT,수출환적,396798.25
2019,10,2019-10,OT,수출환적,499863.5
2020,6,2020-06,IT,수입환적,500807.25
2023,7,2023-07,IT,수입환적,521964
1996,8,1996-08,II,수입,197058.25
1997,9,1997-09,OO,수출,181540.5
2001,11,2001-11,OO,수출,212976.25
2002,11,2002-11,IT,수입환적,177335
2003,10,2003-10,IT,수입환적,176796.5
2004,9,2004-09,IT,수입환적,197359
2004,10,2004-10,OO,수출,287750.25
2007,6,2007-06,OT,수출환적,262435.75
2011,2,2011-02,OT,수출환적,241455.75
2017,10,2017-10,II,수입,414688.25
2017,1,2017-01,OT,수출환적,401321.75
2016,2,2016-02,IT,수입환적,407276.25
2025,2,2025-02,OT,수출환적,599626.75
2020,2,2020-02,OT,수출환적,475222.5
2019,12,2019-12,OO,수출,438993
2019,8,2019-08,II,수입,428564.75
2024,5,2024-05,OT,수출환적,585397.75
2024,8,2024-08,OT,수출환적,573838.75
2023,3,2023-03,II,수입,496830.25
1992,5,1992-05,II,수입,95773
1995,2,1995-02,II,수입,161535
1996,5,1996-05,II,수입,200905.75
1999,3,1999-03,II,수입,246100.5
2001,9,2001-09,II,수입,216074.5
2002,8,2002-08,OO,수출,222291.25
2005,2,2005-02,OO,수출,230838
2006,9,2006-09,OT,수출환적,204865.25
2013,8,2013-08,IT,수입환적,356073.5
2013,8,2013-08,OO,수출,363837.25
2018,2,2018-02,II,수입,393868
2012,4,2012-04,OT,수출환적,355349.25
2016,9,2016-09,IT,수입환적,411846.5
2024,12,2024-12,II,수입,461852.75
2020,1,2020-01,OT,수출환적,487871.75
2021,11,2021-11,OT,수출환적,493624.25
2021,4,2021-04,OT,수출환적,512054.75
2022,10,2022-10,OT,수출환적,484615
2022,5,2022-05,OT,수출환적,505030
2021,7,2021-07,IT,수입환적,551507.75
2024,2,2024-02,IT,수입환적,525700.25
2023,5,2023-05,II,수입,470816.75
2023,9,2023-09,IT,수입환적,522082.75
1992,7,1992-07,OO,수출,124887
1992,9,1992-09,II,수입,90300
1992,10,1992-10,OO,수출,118657
1998,10,1998-10,II,수입,243170.5
1999,6,1999-06,OO,수출,210052.5
2000,9,2000-09,OO,수출,200443.25
2002,12,2002-12,OT,수출환적,169824.75
2002,8,2002-08,IT,수입환적,168932.25
2005,11,2005-11,OT,수출환적,204717.75
2008,2,2008-02,OT,수출환적,225755.75
2008,7,2008-07,II,수입,329661.25
2008,10,2008-10,OT,수출환적,244411.5
2009,3,2009-03,OT,수출환적,217681.5
2009,11,2009-11,OO,수출,298971
2010,1,2010-01,OT,수출환적,240771.75
2010,4,2010-04,OT,수출환적,259931.25
2014,1,2014-01,II,수입,353915.75
2015,4,2015-04,OT,수출환적,427267.5
2015,3,2015-03,II,수입,423856.25
2021,10,2021-10,OO,수출,458593.25
2020,9,2020-09,IT,수입환적,476181.25
2020,12,2020-12,IT,수입환적,525777.5
2000,4,2000-04,OO,수출,212413
2001,4,2001-04,OO,수출,215493.25
2001,12,2001-12,OT,수출환적,123656
2003,1,2003-01,IT,수입환적,181569
2005,10,2005-10,IT,수입환적,220419.75
2006,4,2006-04,OO,수출,282370.25
2007,8,2007-08,OT,수출환적,266314
2007,8,2007-08,II,수입,315731.25
2010,12,2010-12,OT,수출환적,254287.5
2010,11,2010-11,II,수입,341664.75
2011,5,2011-05,II,수입,391655.5
2011,8,2011-08,OT,수출환적,321259.5
2011,9,2011-09,IT,수입환적,313909.75
2011,9,2011-09,OT,수출환적,296344.5
2018,9,2018-09,OO,수출,440259
2012,3,2012-03,OO,수출,391995
2016,12,2016-12,IT,수입환적,413727
2016,4,2016-04,IT,수입환적,396564.5
2016,7,2016-07,IT,수입환적,434699.5
2019,7,2019-07,OT,수출환적,487946.25
2019,3,2019-03,II,수입,471053.75
2019,2,2019-02,II,수입,368147.25
2020,1,2020-01,OO,수출,388610.75
1992,3,1992-03,OO,수출,137082
1998,2,1998-02,OO,수출,178285.5
2001,11,2001-11,IT,수입환적,130380
2006,6,2006-06,IT,수입환적,211613.5
2003,2,2003-02,OO,수출,226453.75
2003,9,2003-09,IT,수입환적,164662.25
2005,4,2005-04,II,수입,298902.25
2006,2,2006-02,II,수입,260853.75
2010,12,2010-12,IT,수입환적,272592.75
2011,6,2011-06,OT,수출환적,311833.75
2011,7,2011-07,OT,수출환적,321385.75
2012,12,2012-12,OO,수출,367739.5
2013,11,2013-11,IT,수입환적,373595.25
2012,3,2012-03,II,수입,387751.75
2012,8,2012-08,IT,수입환적,323005.25
2014,1,2014-01,OO,수출,365515
2014,9,2014-09,IT,수입환적,392552.25
2016,1,2016-01,OO,수출,376192.25
2020,1,2020-01,IT,수입환적,529251.75
2018,4,2018-04,II,수입,431399
2022,11,2022-11,OT,수출환적,482524.5
1993,4,1993-04,II,수입,110099
2000,3,2000-03,OO,수출,233295.5
2000,8,2000-08,OO,수출,215078.5
2002,2,2002-02,IT,수입환적,136738
2006,7,2006-07,IT,수입환적,218888.75
2006,8,2006-08,OT,수출환적,211624.5
2006,10,2006-10,OT,수출환적,219820.75
2006,12,2006-12,II,수입,306140.5
2007,4,2007-04,IT,수입환적,266818.25
2009,9,2009-09,II,수입,285865.25
