연도,월,연월,수출입구분,수출입구분설명,물동량
1997,6,1997-06,OO,수출,183640.5
1998,11,1998-11,OO,수출,209974.75
1999,5,1999-05,II,수입,261540
2001,11,2001-11,OT,수출환적,123405.5
2002,10,2002-10,II,수입,214864.25
2002,7,2002-07,OT,수출환적,165391
2003,5,2003-05,II,수입,262011.5
2009,10,2009-10,IT,수입환적,247215.75
2009,7,2009-07,OT,수출환적,222408.75
2018,2,2018-02,OT,수출환적,443302.5
2018,1,2018-01,IT,수입환적,445476.25
2013,3,2013-03,IT,수입환적,383625.5
2012,2,2012-02,OT,수출환적,271107.5
2013,9,2013-09,II,수입,356302
2019,6,2019-06,II,수입,426493.75
2019,3,2019-03,IT,수입환적,480462.5
2021,11,2021-11,IT,수입환적,502946
2020,4,2020-04,IT,수입환적,485628.5
2020,11,2020-11,II,수입,419161
2019,5,2019-05,IT,수입환적,507181.25
1995,12,1995-12,OO,수출,163930.5
1996,10,1996-10,OO,수출,171293
1998,8,1998-08,II,수입,250243.5
1998,9,1998-09,II,수입,218390.5
2002,6,2002-06,II,수입,227944.25
2002,9,2002-09,II,수입,241202
2006,9,2006-09,OO,수출,291290.25
2007,4,2007-04,OT,수출환적,255887
2009,8,2009-08,OT,수출환적,225232.25
2009,9,2009-09,OT,수출환적,227101.5
2011,3,2011-03,IT,수입환적,305663.75
2013,4,2013-04,II,수입,403402
2018,1,2018-01,II,수입,412248.75
2017,11,2017-11,OO,수출,439639.25
2012,1,2012-01,OT,수출환적,328308.75
2017,5,2017-05,OO,수출,450517.5
2014,4,2014-04,OT,수출환적,401684.25
2015,12,2015-12,OO,수출,393679.25
2017,2,2017-02,OT,수출환적,407898.5
2015,7,2015-07,IT,수입환적,423565.75
2019,7,2019-07,OO,수출,452408
2021,8,2021-08,OO,수출,397369.25
2020,5,2020-05,II,수입,373953.75
2022,6,2022-06,II,수입,407027
2024,2,2024-02,OO,수출,422256.25
1992,12,1992-12,OO,수출,118401
1993,11,1993-11,II,수입,122711
1994,5,1994-05,OO,수출,143891
1996,8,1996-08,OO,수출,158758.75
1998,1,1998-01,II,수입,202637
2004,8,2004-08,IT,수입환적,199131
2002,12,2002-12,II,수입,261003.25
2003,7,2003-07,II,수입,256672.25
2006,12,2006-12,OT,수출환적,212376.75
2008,11,2008-11,IT,수입환적,219059.25
2008,9,2008-09,II,수입,320589
2008,9,2008-09,OT,수출환적,243919
2010,4,2010-04,OO,수출,328350.25
2010,8,2010-08,II,수입,341772.25
2010,8,2010-08,IT,수입환적,276292
2010,7,2010-07,II,수입,337889.75
2016,12,2016-12,II,수입,409801.5
2018,4,2018-04,IT,수입환적,463586.25
2015,2,2015-02,OT,수출환적,410158.5
2022,1,2022-01,II,수입,450522.5
2020,5,2020-05,OO,수출,375667.5
2020,6,2020-06,OT,수출환적,493027.75
2000,8,2000-08,II,수입,303978.25
2000,12,2000-12,OO,수출,218662.25
2002,9,2002-09,IT,수입환적,176784.75
2004,11,2004-11,II,수입,304179.25
2006,7,2006-07,OO,수출,282942.75
2006,1,2006-01,II,수입,278654.25
2007,9,2007-09,II,수입,303332.25
2009,1,2009-01,OT,수출환적,206392.25
2009,3,2009-03,OO,수출,274000.75
2009,2,2009-02,IT,수입환적,170475
2010,10,2010-10,OO,수출,352394.25
2018,8,2018-08,II,수입,404361
2017,10,2017-10,OT,수출환적,423064.25
2013,5,2013-05,OO,수출,388471
2018,10,2018-10,OO,수출,419277.25
2012,11,2012-11,OT,수출환적,339548.75
2013,12,2013-12,II,수입,379866
2014,4,2014-04,II,수입,391681.5
2015,9,2015-09,OO,수출,394059.75
2022,1,2022-01,OO,수출,440329.25
2020,5,2020-05,IT,수입환적,502938.5
2021,3,2021-03,OT,수출환적,515326.25
2024,11,2024-11,II,수입,421638.75
2022,8,2022-08,OT,수출환적,508447.25
1992,2,1992-02,OO,수출,103903
1992,8,1992-08,II,수입,93662
1998,3,1998-03,II,수입,255990
1998,8,1998-08,OO,수출,202713.75
2006,5,2006-05,OO,수출,286664.25
2006,5,2006-05,IT,수입환적,224484.75
2007,10,2007-10,OT,수출환적,245212.75
2010,6,2010-06,OO,수출,342846.5
2013,4,2013-04,OT,수출환적,380707.25
2013,3,2013-03,II,수입,408042.5
2014,8,2014-08,IT,수입환적,402695.25
2014,2,2014-02,II,수입,334478
2015,2,2015-02,II,수입,359497
2020,1,2020-01,II,수입,399245
2022,2,2022-02,OT,수출환적,496516.25
2021,2,2021-02,OT,수출환적,457707.5
1992,12,1992-12,II,수입,112354
1993,8,1993-08,II,수입,121964
1997,8,1997-08,II,수입,221363.5
1997,10,1997-10,OO,수출,197122.75
1999,1,1999-01,OO,수출,186157
2003,8,2003-08,OT,수출환적,162719.25
2005,11,2005-11,OO,수출,280401
2004,3,2004-03,OO,수출,292287.25
2007,3,2007-03,OT,수출환적,210687.25
2010,7,2010-07,OT,수출환적,274333.75
2010,4,2010-04,II,수입,340255.25
2012,5,2012-05,OT,수출환적,389010.25
2014,8,2014-08,OT,수출환적,393746.75
2014,11,2014-11,IT,수입환적,396021
2016,5,2016-05,OT,수출환적,408665.5
2016,5,2016-05,II,수입,401356.5
2016,1,2016-01,II,수입,389362
2015,6,2015-06,II,수입,383395.75
2024,1,2024-01,II,수입,428462.25
2023,4,2023-04,OO,수출,468372
2020,4,2020-04,OO,수출,401181
1993,12,1993-12,OO,수출,134296
1996,11,1996-11,OO,수출,172481.5
1997,10,1997-10,II,수입,229488.5
2001,6,2001-06,OT,수출환적,111767.25
2007,2,2007-02,OO,수출,261155.25
2006,11,2006-11,II,수입,298149.75
2008,5,2008-05,IT,수입환적,261714.5
2007,5,2007-05,II,수입,313523.5
2007,11,2007-11,OO,수출,316951.75
2009,2,2009-02,OT,수출환적,183601
2010,12,2010-12,II,수입,360359.25
2011,8,2011-08,IT,수입환적,333259.75
2011,9,2011-09,OO,수출,352711.5
2017,10,2017-10,IT,수입환적,442543
2017,11,2017-11,OT,수출환적,436324.75
2013,7,2013-07,IT,수입환적,385553.75
2012,6,2012-06,OT,수출환적,336295
2018,6,2018-06,OT,수출환적,494806
2014,12,2014-12,IT,수입환적,412207.25
2014,6,2014-06,OT,수출환적,401276.25
2016,10,2016-10,OO,수출,413691.5
2015,4,2015-04,OO,수출,402026.75
2023,1,2023-01,OO,수출,419471.25
2024,4,2024-04,OO,수출,481829
2020,2,2020-02,IT,수입환적,418164.5
2024,11,2024-11,OT,수출환적,560592.25
2023,2,2023-02,OT,수출환적,472133
2023,3,2023-03,OO,수출,471957.25
1997,7,1997-07,II,수입,221295
2001,5,2001-05,OT,수출환적,107858.75
2003,11,2003-11,OO,수출,271659.5
2005,6,2005-06,OO,수출,275156.75
2005,7,2005-07,OT,수출환적,219898
2009,8,2009-08,II,수입,274605
2018,9,2018-09,IT,수입환적,488352.25
2012,1,2012-01,IT,수입환적,344815.25
2013,9,2013-09,OO,수출,361847.75
2014,3,2014-03,OT,수출환적,383563.5
2021,6,2021-06,II,수입,438241
2020,3,2020-03,OT,수출환적,519991.5
2021,9,2021-09,II,수입,401149.25
2020,9,2020-09,OO,수출,406567
2023,10,2023-10,IT,수입환적,538320
1995,10,1995-10,II,수입,186031
1998,6,1998-06,OO,수출,205461.25
1998,12,1998-12,II,수입,248897.75
2001,3,2001-03,II,수입,227399
2006,6,2006-06,II,수입,285889.75
2002,7,2002-07,OO,수출,238479.5
2004,7,2004-07,II,수입,276853.75
2003,10,2003-10,OT,수출환적,171593.75
2005,3,2005-03,II,수입,301667.5
2010,2,2010-02,OT,수출환적,226553
2011,9,2011-09,II,수입,357418
2017,8,2017-08,II,수입,423729.5
2018,8,2018-08,IT,수입환적,493910.5
2013,10,2013-10,OO,수출,378178.25
2017,2,2017-02,II,수입,358541.75
2014,9,2014-09,OO,수출,372122
2017,7,2017-07,IT,수입환적,441638.75
2019,7,2019-07,II,수입,456412
2018,12,2018-12,OT,수출환적,475325.5
2020,2,2020-02,OO,수출,436659.5
2022,1,2022-01,OT,수출환적,528033.75
2021,3,2021-03,OO,수출,486997.5
2024,3,2024-03,OT,수출환적,561502.75
2023,11,2023-11,OT,수출환적,551886.75
2024,8,2024-08,OO,수출,457061.25
2024,10,2024-10,II,수입,431582.5
1994,9,1994-09,II,수입,153025
1996,4,1996-04,OO,수출,162937.75
1996,7,1996-07,OO,수출,175418.75
2000,1,2000-01,II,수입,287453.5
2001,3,2001-03,OO,수출,231249.25
2003,6,2003-06,II,수입,253833.25
2004,12,2004-12,IT,수입환적,225596
2006,6,2006-06,OT,수출환적,212789.25
2005,8,2005-08,II,수입,259605
2006,2,2006-02,IT,수입환적,190659.25
2008,2,2008-02,OO,수출,291194
2010,5,2010-05,II,수입,344472.25
2012,5,2012-05,OO,수출,391940.25
2018,10,2018-10,IT,수입환적,495900.75
2012,11,2012-11,IT,수입환적,333066.75
2013,2,2013-02,II,수입,319282.25
2018,3,2018-03,II,수입,449434.25
2025,2,2025-02,II,수입,392441.25
2019,2,2019-02,OT,수출환적,471879.75
2021,8,2021-08,IT,수입환적,524040.75
2021,5,2021-05,IT,수입환적,534821.5
2020,9,2020-09,II,수입,386910.5
2022,7,2022-07,IT,수입환적,538053
1992,1,1992-01,II,수입,92005
1998,4,1998-04,II,수입,248075.5
1999,7,1999-07,II,수입,267768.25
1999,8,1999-08,II,수입,279860.75
2001,2,2001-02,OT,수출환적,90644.75
2004,2,2004-02,OO,수출,269250
2002,4,2002-04,OO,수출,232590.75
2006,3,2006-03,OT,수출환적,229464.5
2008,2,2008-02,IT,수입환적,221953.75
2008,7,2008-07,OO,수출,358265.75
2009,5,2009-05,IT,수입환적,216748.25
2009,6,2009-06,II,수입,276859
2011,10,2011-10,II,수입,382356.75
2014,4,2014-04,IT,수입환적,390004
2019,6,2019-06,IT,수입환적,489895
2024,5,2024-05,OO,수출,466562.5
2024,9,2024-09,II,수입,419254.25
2024,8,2024-08,II,수입,455863.75
1998,6,1998-06,II,수입,239634
2003,9,2003-09,OO,수출,239419
2003,7,2003-07,OT,수출환적,172333.5
2005,5,2005-05,OT,수출환적,226774.5
2005,9,2005-09,OO,수출,259525
2008,8,2008-08,II,수입,342240.75
2008,6,2008-06,II,수입,320587
2008,1,2008-01,OT,수출환적,232963
2007,7,2007-07,OO,수출,314496.25
2013,3,2013-03,OT,수출환적,358648.25
2015,12,2015-12,OT,수출환적,409596.25
2016,12,2016-12,OO,수출,413730
2014,7,2014-07,II,수입,392841.25
2023,1,2023-01,II,수입,401408
2019,4,2019-04,IT,수입환적,493488
2019,9,2019-09,OT,수출환적,448480
2019,9,2019-09,II,수입,400877
2023,8,2023-08,IT,수입환적,509580.25
2023,9,2023-09,OT,수출환적,525638.25
1993,6,1993-06,OO,수출,133067
1994,2,1994-02,OO,수출,113591
1996,5,1996-05,OO,수출,180700.25
2000,1,2000-01,OO,수출,203036.75
2001,2,2001-02,IT,수입환적,97114
2002,2,2002-02,OT,수출환적,129401.25
2002,5,2002-05,OT,수출환적,158394.25
2004,6,2004-06,OT,수출환적,202600.25
2005,11,2005-11,IT,수입환적,203830.5
2005,1,2005-01,IT,수입환적,220932
2008,3,2008-03,OT,수출환적,247222.5
2008,2,2008-02,II,수입,290348.5
2009,8,2009-08,OO,수출,289037
2012,7,2012-07,OT,수출환적,333751
2014,8,2014-08,II,수입,379778.5
2015,9,2015-09,IT,수입환적,413565.75
2015,9,2015-09,II,수입,385572
2021,5,2021-05,II,수입,463245.25
2019,1,2019-01,OO,수출,417403.75
2023,9,2023-09,OO,수출,462627.5
1993,1,1993-01,OO,수출,105863
1993,5,1993-05,OO,수출,138738
